"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "YAML", "Ignore", "JavaScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\environments\environment.prod.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\environments\environment.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 11, 3, 18
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\main.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\polyfills.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 57, 7, 65
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\proxy.conf.json", "JSON", 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 84, 0, 10, 13, 107
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\test.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 3, 23
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\tsconfig.app.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 12, 0, 39
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\tsconfig.spec.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\common\README.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\common\message.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\package.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\.eslintrc.json", "JSON with Comments", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\.mocharc.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\app.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 56, 3, 85
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\classes\game.spec.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\classes\game.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 10, 95
